x,training_1,training_2,training_3,training_4
0.01,0.29417777777777776,-3.3666629629629634,-5.966659259259259,-6.1359407407407405
0.02,-0.062152941176470605,-3.356897794117647,-5.257843382352941,-5.395558088235294
0.03,-0.1877995901639344,-2.902370081967213,-4.331893032786885,-4.468041393442623
0.04,-0.23366024590163934,-2.620197950819672,-3.831524180327869,-3.9961151639344257
0.05,-0.2795209016393443,-2.338025819672131,-3.331155327868852,-3.524188934426229
0.06,-0.3117971774193548,-2.1823209677419357,-3.0577895161290325,-3.225579435483871
0.07,-0.34167620967741935,-2.048933870967742,-2.824483064516129,-2.957555241935484
0.08,-0.36107951807228916,-1.9267409638554218,-2.616977510040161,-2.7231847389558235
0.09,-0.3626457831325301,-1.8236084337349399,-2.4534032128514056,-2.5461164658634536
0.1,-0.3642120481927711,-1.7204759036144577,-2.2898289156626506,-2.3690481927710842
0.11,-0.36346802443991855,-1.64599816700611,-2.1788484725050914,-2.2499067209775965
0.12,-0.36240896130346234,-1.575427902240326,-2.075039918533605,-2.1386643584521385
0.13,-0.36134989816700613,-1.5048576374745415,-1.971231364562118,-2.02742199592668
0.14,-0.3602908350305499,-1.4342873727087575,-1.867422810590631,-1.9161796334012218
0.15,-0.3592317718940937,-1.3637171079429735,-1.7636142566191446,-1.8049372708757638
0.16,-0.3597136456211813,-1.3235902240325865,-1.7011936863543786,-1.7462645621181263
0.17,-0.3602431771894094,-1.2844048879837067,-1.6400531568228105,-1.6892177189409368
0.18,-0.3607727087576375,-1.2452195519348268,-1.5789126272912424,-1.6321708757637476
0.19,-0.3613022403258656,-1.206034215885947,-1.517772097759674,-1.575124032586558
0.2,-0.36147810650887574,-1.167185798816568,-1.4575189349112425,-1.5184207100591716
0.21,-0.3561132149901381,-1.1336157790927022,-1.4111678500986193,-1.467099211045365
0.22,-0.3507483234714004,-1.1000457593688362,-1.364816765285996,-1.4157777120315582
0.23,-0.34538343195266274,-1.0664757396449704,-1.3184656804733728,-1.3644562130177516
0.24,-0.34001854043392504,-1.0329057199211045,-1.2721145956607496,-1.3131347140039449
0.25,-0.3346536489151874,-0.9993357001972386,-1.2257635108481262,-1.2618132149901382
0.26,-0.33048493975903614,-0.9731765060240963,-1.1906698795180723,-1.2263915662650602
0.27,-0.32632831325301204,-0.9470921686746987,-1.1556899598393573,-1.1911305220883535
0.28,-0.32217168674698793,-0.9210078313253012,-1.1207100401606425,-1.1558694779116465
0.29,-0.3180150602409639,-0.8949234939759037,-1.0857301204819279,-1.12060843373494
0.3,-0.31383320000000003,-0.8688808,-1.050816,-1.0854118000000001
0.31,-0.3071532,-0.8469608,-1.022416,-1.0565918
0.32,-0.3004732,-0.8250407999999999,-0.9940159999999999,-1.0277718
0.33,-0.29379320000000003,-0.8031207999999999,-0.9656159999999999,-0.9989518
0.34,-0.2871132,-0.7812007999999999,-0.9372159999999999,-0.9701317999999999
0.35,-0.28045979797979803,-0.7592971717171717,-0.9088757575757577,-0.9413171717171718
0.36,-0.276439595959596,-0.7390143434343434,-0.8864515151515152,-0.9130343434343434
0.37,-0.27241939393939396,-0.7187315151515151,-0.8640272727272728,-0.8847515151515151
0.38,-0.2683991919191919,-0.6984486868686868,-0.8416030303030303,-0.8564686868686868
0.39,-0.2643789898989899,-0.6781658585858585,-0.8191787878787878,-0.8281858585858585
0.4,-0.2602342629482071,-0.6582035856573705,-0.7967721115537848,-0.8002996015936253
0.41,-0.2541386454183267,-0.6432633466135458,-0.7746406374501993,-0.7786262948207171
0.42,-0.24804302788844623,-0.6283231075697211,-0.7525091633466136,-0.7569529880478088
0.43,-0.24194741035856573,-0.6133828685258964,-0.7303776892430279,-0.7352796812749004
0.44,-0.23585179282868526,-0.5984426294820717,-0.7082462151394423,-0.7136063745019919
0.45,-0.229812375249501,-0.5834540918163672,-0.6862686626746507,-0.6920678642714571
0.46,-0.22512175648702595,-0.5673063872255488,-0.6679852295409182,-0.6737644710578842
0.47,-0.22043113772455092,-0.5511586826347306,-0.6497017964071857,-0.6554610778443114
0.48,-0.21574051896207586,-0.5350109780439122,-0.6314183632734531,-0.6371576846307385
0.49,-0.2110499001996008,-0.5188632734530938,-0.6131349301397206,-0.6188542914171656
0.5,-0.2063012121212121,-0.502750909090909,-0.5948915151515152,-0.6005084848484847
0.51,-0.19967494949494946,-0.48778121212121206,-0.5779420202020202,-0.580791313131313
0.52,-0.19304868686868684,-0.4728115151515151,-0.5609925252525252,-0.5610741414141414
0.53,-0.18642242424242422,-0.4578418181818181,-0.5440430303030303,-0.5413569696969696
0.54,-0.1797961616161616,-0.44287212121212116,-0.5270935353535353,-0.5216397979797979
0.55,-0.17331274900398405,-0.42807211155378483,-0.51031593625498,-0.5024737051792828
0.56,-0.16847211155378483,-0.4152235059760956,-0.495515139442231,-0.48964501992031867
0.57,-0.1636314741035857,-0.40237490039840645,-0.48071434262948215,-0.47681633466135465
0.58,-0.1587908366533865,-0.3895262948207172,-0.46591354581673317,-0.4639876494023905
0.59,-0.15395019920318728,-0.37667768924302797,-0.4511127490039841,-0.4511589641434264
0.6,-0.1491413173652695,-0.36389341317365276,-0.4363652694610779,-0.4381838323353294
0.61,-0.1448299401197605,-0.3521169660678643,-0.4224530938123753,-0.4229143712574851
0.62,-0.14051856287425152,-0.34034051896207584,-0.40854091816367266,-0.4076449101796407
0.63,-0.1362071856287425,-0.3285640718562874,-0.39462874251497004,-0.3923754491017964
0.64,-0.1318958083832335,-0.31678762475049893,-0.3807165668662674,-0.377105988023952
0.65,-0.127489620758483,-0.3049752495009979,-0.36681636726546896,-0.3621169660678642
0.66,-0.12128203592814367,-0.292480239520958,-0.3531437125748502,-0.3524562874251496
0.67,-0.11507445109780434,-0.2799852295409181,-0.33947105788423143,-0.34279560878243504
0.68,-0.10886686626746503,-0.26749021956087815,-0.3257984031936127,-0.33313493013972045
0.69,-0.10265928143712577,-0.2549952095808384,-0.31212574850299407,-0.32347425149700604
0.7,-0.09648174442190671,-0.2425569979716025,-0.29848397565922924,-0.31366693711967547
0.71,-0.09102535496957405,-0.23148194726166332,-0.28558336713995947,-0.3003403651115619
0.72,-0.08556896551724139,-0.22040689655172419,-0.2726827586206897,-0.2870137931034483
0.73,-0.08011257606490874,-0.20933184584178502,-0.2597821501014199,-0.2736872210953347
0.74,-0.07465618661257607,-0.19825679513184585,-0.24688154158215012,-0.2603606490872211
0.75,-0.06910019455252919,-0.1869126459143969,-0.2339533073929961,-0.24708112840466928
0.76,-0.06273832684824902,-0.17339124513618678,-0.22080155642023347,-0.23418229571984436
0.77,-0.05637645914396887,-0.15986984435797666,-0.2076498054474708,-0.22128346303501945
0.78,-0.050014591439688706,-0.1463484435797665,-0.19449805447470817,-0.20838463035019453
0.79,-0.043652723735408544,-0.13282704280155638,-0.1813463035019455,-0.1954857976653696
0.8,-0.03729085603112839,-0.11930564202334626,-0.16819455252918286,-0.18258696498054472
0.81,-0.029644466800804792,-0.10644808853118706,-0.15398189134808846,-0.17086056338028163
0.82,-0.02195835010060366,-0.09361106639839041,-0.13973641851106647,-0.15917042253521133
0.83,-0.014272233400402439,-0.0807740442655936,-0.1254909456740443,-0.14748028169014088
0.84,-0.006586116700201223,-0.06793702213279681,-0.11124547283702216,-0.13579014084507046
0.85,0.0011,-0.0551,-0.097,-0.1241
0.86,0.01055233265720082,-0.04084036511156186,-0.08478904665314402,-0.11359290060851926
0.87,0.020004665314401638,-0.026580730223123718,-0.07257809330628802,-0.10308580121703853
0.88,0.029456997971602457,-0.012321095334685575,-0.06036713995943203,-0.09257870182555779
0.89,0.03890933062880327,0.0019385395537525676,-0.048156186612576035,-0.08207160243407705
0.9,0.04840000000000003,0.016213306451612952,-0.03610705645161287,-0.07177782258064513
0.91,0.05840000000000005,0.030689112903225874,-0.02620786290322576,-0.0643181451612903
0.92,0.06840000000000006,0.045164919354838795,-0.01630866935483865,-0.05685846774193544
0.93,0.07840000000000008,0.05964072580645171,-0.006409475806451539,-0.049398790322580585
0.94,0.08839999999999998,0.07411653225806447,0.003489717741935461,-0.04193911290322582
